AF7,label
28.32,concentrated
49.316,concentrated
54.688,concentrated
21.484,concentrated
30.762,concentrated
27.344,concentrated
32.715,concentrated
47.852,concentrated
48.828,concentrated
43.945,concentrated
36.621,concentrated
46.875,concentrated
35.645,concentrated
48.34,concentrated
29.785,concentrated
41.016,concentrated
43.945,concentrated
49.316,concentrated
40.039,concentrated
34.18,concentrated
18.555,concentrated
32.227,concentrated
37.109,concentrated
44.434,concentrated
38.574,concentrated
42.969,concentrated
44.922,concentrated
47.852,concentrated
35.645,concentrated
26.855,concentrated
28.32,concentrated
38.086,concentrated
38.086,concentrated
33.691,concentrated
31.25,concentrated
34.668,concentrated
18.066,concentrated
45.41,concentrated
32.715,concentrated
24.902,concentrated
49.805,concentrated
42.48,concentrated
35.156,concentrated
46.875,concentrated
39.062,concentrated
25.391,concentrated
24.414,concentrated
26.855,concentrated
53.711,concentrated
41.992,concentrated
30.762,concentrated
30.273,concentrated
29.785,concentrated
38.574,concentrated
27.832,concentrated
30.762,concentrated
27.832,concentrated
32.715,concentrated
38.086,concentrated
34.668,concentrated
32.715,concentrated
41.992,concentrated
33.203,concentrated
37.598,concentrated
29.297,concentrated
34.668,concentrated
29.785,concentrated
36.133,concentrated
39.062,concentrated
40.039,concentrated
37.109,concentrated
31.738,concentrated
34.18,concentrated
39.062,concentrated
40.039,concentrated
49.316,concentrated
40.527,concentrated
28.809,concentrated
41.504,concentrated
32.227,concentrated
41.016,concentrated
22.949,concentrated
34.18,concentrated
25.879,concentrated
26.855,concentrated
27.832,concentrated
34.668,concentrated
38.086,concentrated
39.551,concentrated
32.227,concentrated
28.809,concentrated
30.762,concentrated
31.738,concentrated
33.203,concentrated
36.133,concentrated
26.367,concentrated
31.25,concentrated
24.902,concentrated
30.762,concentrated
34.18,concentrated
21.484,concentrated
31.738,concentrated
54.199,concentrated
35.645,concentrated
30.762,concentrated
32.227,concentrated
34.668,concentrated
28.809,concentrated
25.879,concentrated
49.316,concentrated
41.504,concentrated
35.156,concentrated
39.062,concentrated
42.969,concentrated
